time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0100899, 0,0,0, 0.314159,0,0,0.314159,0,0, 0.0214676,-0.0338594,0.103498,0.343233,0.225553,9.80665
0.0200775, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103498,0.304006,0.186326,9.76742
0.0300896, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103498,0.343233,0.186326,9.80665
0.0400927, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103498,0.304006,0.225553,9.80665
0.0500817, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103323,0.304006,0.186326,9.80665
0.060158, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103323,0.343233,0.225553,9.80665
0.0700741, 0,0,0, -0.314159,0,0,-0.314159,0,0, 0.0214676,-0.0338594,0.103323,0.343233,0.225553,9.80665
0.0801075, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103323,0.343233,0.225553,9.80665
0.0900974, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0338594,0.103323,0.304006,0.225553,9.80665
0.100098, 0,0,0, 0.314159,0,0,0.314159,0,0, 0.0214676,-0.0338594,0.103323,0.304006,0.186326,9.80665
0.110093, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.186326,9.80665
0.120073, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.13008, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.140115, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.186326,9.80665
0.150118, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.160076, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.17007, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.186326,9.80665
0.180111, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.186326,9.80665
0.190111, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.186326,9.76742
0.200139, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.186326,9.80665
0.210071, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.220129, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.230069, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.240078, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103498,0.304006,0.186326,9.80665
0.250079, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.260093, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.270075, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.76742
0.280071, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.290105, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.300105, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.310072, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.320094, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.330132, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.186326,9.80665
0.340128, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.186326,9.80665
0.35011, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.225553,9.80665
0.360082, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.343233,0.225553,9.80665
0.370118, 0,0,0, 0,0,0,0,0,0, 0.0214676,-0.0340339,0.103323,0.304006,0.186326,9.80665
