time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0100543, 0,0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.76742
0.0201044, 0,0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.0302582, 0,0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.0402932, 0,0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.0501173, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.0600784, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.0700371, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.079999, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0167552,-0.0453786,0.156906,0.26478,9.76742
0.0900109, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.84588
0.100017, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.76742
0.110062, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.84588
0.119991, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.84588
0.13007, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.140073, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.196133,0.26478,9.80665
0.150062, -0,-0,0, 0.314159,0,0,0.314159,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.76742
0.160067, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.170113, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.18006, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.190053, -0,-0,0, 0,0,0,0,0,0, 0.0258309,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.200008, -0,-0,0, 0.314159,0,0,0.314159,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.210078, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.220129, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.230167, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.239988, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.250041, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.225553,9.80665
0.260043, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.11768,0.225553,9.80665
0.270064, -0,-0,0, 0,-0.314159,0,0,-0.314159,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.225553,9.84588
0.280067, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.290016, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.26478,9.80665
0.300064, -0,-0,0, 0,0,0,0,0,0, 0.0256563,-0.0165806,-0.0453786,0.156906,0.26478,9.76742
