time stamp, twistx, twisty, twistz, odomx, odomy, odom_theta, odom_vx, odom_vy, odom_w, roll, pitch, yaw, accl_x, accl_y, accl_z
0.310142, -0,0.00104887,0.814239, 0.0731165,-0.0189471,0.277066,-0.123975,-0.108525,-0.516563, -0.00331613,-0.0267035,0.502829,0.529559,0.17652,11.817
0.320097, -0,0.00104887,0.810111, 0.0745829,-0.0192346,0.282607,-0.132991,-0.0681394,-0.554131, -0.00366519,-0.0268781,0.513476,0.490333,0.372653,10.1303
0.330094, -0,0.00104887,0.814239, 0.0760635,-0.0195573,0.288148,-0.132991,-0.0726475,-0.554131, -0.00418879,-0.0270526,0.524122,0.02942,0.372653,9.06135
0.340051, -0,0.00104887,0.814239, 0.0774613,-0.0198253,0.293408,-0.126229,-0.0657444,-0.525955, -0.00453786,-0.0272271,0.534594,0.225553,-0.00980665,9.51245
0.350059, -0,0.00104887,0.818367, 0.0788322,-0.0200705,0.298573,-0.123975,-0.0634433,-0.516563, -0.00488692,-0.0272271,0.545066,0.490333,-0.0882598,9.66936
0.360051, -0,0.00104887,0.818367, 0.0804313,-0.0204303,0.30449,-0.142008,-0.0818517,-0.591699, -0.00471239,-0.0280998,0.56601,0.333426,0.107873,8.89463
0.370152, -0,0.00104887,0.826623, 0.0822306,-0.0209568,0.310971,-0.155532,-0.104674,-0.648052, -0.00453786,-0.0286234,0.576657,-0.431493,0.137293,12.0131
0.380095, -0,0.00104887,0.834879, 0.0837469,-0.0213941,0.316418,-0.130737,-0.0883792,-0.544739, -0.00401426,-0.0284489,0.586954,0.568786,0.0686466,7.6688
0.390025, -0,0.00104887,0.843135, 0.0850918,-0.0220892,0.320833,-0.105942,-0.108149,-0.441427, -0.00366519,-0.0282743,0.597252,-0.313813,-0.166713,10.2774
0.400155, -0,0.00104887,0.843135, 0.0864394,-0.0229912,0.324965,-0.0991801,-0.128295,-0.41325, -0.00436332,-0.0280998,0.607025,0.333426,-0.127486,10.7481
0.41004, -0,0.00104887,0.839007, 0.087718,-0.0235323,0.329285,-0.103688,-0.0923239,-0.432034, -0.00436332,-0.0280998,0.607025,0.333426,-0.127486,10.7481
0.420043, -0,0.00104887,0.843135, 0.0891561,-0.0239696,0.334357,-0.121721,-0.0881914,-0.507171, -0.00488692,-0.0282743,0.616974,0.107873,0.215746,9.05154
0.430047, -0,0.00104887,0.847263, 0.0905684,-0.0244562,0.339241,-0.117213,-0.0926056,-0.488387, -0.00541052,-0.0287979,0.626748,0.990472,-0.0490333,9.2869
0.440164, -0,0.00104887,0.847263, 0.0919264,-0.0249788,0.343843,-0.110451,-0.0947188,-0.460211, -0.00558505,-0.0289725,0.636347,0.254973,0.254973,9.09076
0.450089, -0,0.00104887,0.863775, 0.0931721,-0.0255102,0.347976,-0.0991801,-0.09223,-0.41325, -0.00575959,-0.0286234,0.646121,0.372653,0.333426,10.091
0.460069, -0,0.00104887,0.892671, 0.0943718,-0.0258385,0.352202,-0.101434,-0.0719901,-0.422642, -0.00610865,-0.0284489,0.65572,0.676659,-0.166713,10.3264
0.470065, -0,0.00104887,0.925695, 0.0957591,-0.0261445,0.35718,-0.119467,-0.0768739,-0.497779, -0.00645772,-0.0286234,0.665145,0.411879,0.333426,10.0126
0.480084, -0,0.00104887,0.946336, 0.0971371,-0.0265431,0.36197,-0.114959,-0.0857964,-0.478995, -0.00715585,-0.0287979,0.68382,0.1471,0.215746,9.40458
0.490086, -0,0.00104887,0.962848, 0.0983895,-0.026981,0.366196,-0.101434,-0.0855146,-0.422642, -0.00715585,-0.0284489,0.692896,0.490333,0.137293,9.89491
0.500111, -0,0.00104887,0.971104, 0.0996175,-0.0274711,0.370235,-0.096926,-0.0899289,-0.403858, -0.00733038,-0.0282743,0.702146,0.490333,0.0686466,9.77723
0.510093, -0,0.00104887,0.97936, 0.100821,-0.0280139,0.374085,-0.0946719,-0.092136,-0.394466, -0.00733038,-0.0282743,0.702146,0.490333,0.0686466,9.77723
0.52009, -0,0.00104887,0.991744, 0.102046,-0.0283527,0.378312,-0.101434,-0.0764983,-0.422642, -0.00750492,-0.0280998,0.711396,0.333426,-0.0490333,9.74781
0.530057, -0,0.00104887,1, 0.10341,-0.0288507,0.38282,-0.108196,-0.096926,-0.450819, -0.00785398,-0.0277507,0.720472,-0.00980665,0.17652,9.98317
0.540051, -0,0.00104887,1, 0.104828,-0.0292266,0.387704,-0.117213,-0.0880974,-0.488387, -0.00820305,-0.0275762,0.729548,0.637432,-0.20594,9.86549
0.550049, -0,0.00104887,1, 0.106319,-0.0295918,0.39287,-0.123975,-0.0904924,-0.516563, -0.00890118,-0.0274017,0.738623,0.637432,-0.20594,9.63994
0.560079, -0,0.00104887,1, 0.107692,-0.0298994,0.39766,-0.114959,-0.0812882,-0.478995, -0.00942478,-0.0274017,0.747874,0.333426,-0.274586,10.1695
0.570048, -0,0.00104887,1, 0.109133,-0.0302958,0.402543,-0.117213,-0.0926056,-0.488387, -0.00959931,-0.0275762,0.757298,0.254973,-0.166713,10.5127
0.580043, -0,0.00104887,1, 0.110515,-0.0306607,0.407239,-0.112705,-0.0880036,-0.469603, -0.00959931,-0.0277507,0.766723,0.333426,-0.0882598,10.1303
0.590046, -0,0.00104887,1, 0.111918,-0.0310604,0.411935,-0.112705,-0.0925117,-0.469603, -0.00977384,-0.0277507,0.785573,0.372653,-0.0490333,8.97309
0.600042, -0,0.00104887,1, 0.113362,-0.0312656,0.417101,-0.123975,-0.0769679,-0.516563, -0.0102974,-0.0277507,0.795347,0.186326,0.17652,9.65955
0.610052, -0,0.00104887,1, 0.114852,-0.0316163,0.422173,-0.121721,-0.0926996,-0.507171, -0.0109956,-0.0275762,0.804946,0.0686466,0.0686466,9.5909
0.620044, -0,0.00104887,1, 0.116391,-0.032012,0.427338,-0.123975,-0.0995088,-0.516563, -0.0113446,-0.0270526,0.814894,0.411879,-0.274586,9.51245
0.630064, -0,0.00104887,1, 0.118001,-0.0322226,0.433068,-0.1375,-0.086266,-0.572915, -0.0113446,-0.0270526,0.814894,0.411879,-0.274586,9.51245
0.640053, -0,0.00104887,1, 0.11943,-0.0323564,0.438233,-0.123975,-0.0724597,-0.516563, -0.0113446,-0.026529,0.824843,0.02942,0.137293,10.1597
0.650087, -0,0.00104887,1, 0.120869,-0.0329238,0.442647,-0.108196,-0.110451,-0.450819, -0.0115192,-0.0261799,0.834791,0.1471,-0.431493,10.0126
0.660128, -0,0.00104887,1, 0.122328,-0.0331549,0.447719,-0.121721,-0.0836832,-0.507171, -0.0118682,-0.0260054,0.844914,0.254973,-0.166713,10.9736
0.670126, -0,0.00104887,1, 0.124086,-0.0332163,0.4542,-0.155532,-0.0821335,-0.648052, -0.0122173,-0.026529,0.855211,0.490333,-0.245166,10.6696
0.680051, -0,0.00104887,1, 0.125763,-0.0332046,0.460492,-0.151024,-0.0730232,-0.629268, -0.0122173,-0.0268781,0.865334,0.411879,-0.0490333,10.3558
0.690074, -0,0.00104887,1, 0.12738,-0.0330613,0.466785,-0.151024,-0.0594987,-0.629268, -0.0127409,-0.0270526,0.875981,0.1471,0.0686466,8.16894
0.70005, -0,0.00104887,1, 0.128824,-0.033217,0.471857,-0.121721,-0.079175,-0.507171, -0.0137881,-0.0258309,0.897099,0.529559,-0.20594,10.1695
0.710085, -0,-0,1, 0.130424,-0.0339163,0.476459,-0.110451,-0.135293,-0.460211, -0.0148353,-0.0254818,0.907397,0.608012,-0.166713,11.4346
0.720045, -0,0.00104887,1, 0.132151,-0.0347483,0.481249,-0.114959,-0.153419,-0.478995, -0.0150098,-0.0260054,0.917694,0.0686466,-0.431493,11.3169
0.730042, -0,0.00104887,1, 0.133883,-0.0355719,0.486039,-0.114959,-0.153419,-0.478995, -0.0150098,-0.0260054,0.917694,0.0686466,-0.431493,11.3169
0.74009, -0,0.00104887,1, 0.135554,-0.0357372,0.491862,-0.139754,-0.0930753,-0.582307, -0.0144862,-0.0268781,0.927992,0.411879,0.137293,9.17902
0.750047, -0,0.00104887,1, 0.137243,-0.0361628,0.497215,-0.128483,-0.117635,-0.535347, -0.0141372,-0.0268781,0.938464,0.490333,0.637432,7.70803
0.760114, -0,0.00104887,1, 0.138907,-0.0370006,0.501629,-0.105942,-0.153231,-0.441427, -0.0141372,-0.026529,0.948935,0.225553,-0.127486,9.10057
0.770037, -0,0.00104887,1, 0.140496,-0.0376428,0.506138,-0.108196,-0.132991,-0.450819, -0.0143117,-0.0260054,0.959582,0.490333,0.490333,10.8952
0.780059, -0,0.00104887,1, 0.142147,-0.0381959,0.511022,-0.117213,-0.128671,-0.488387, -0.0153589,-0.0254818,0.969879,0.107873,-0.0882598,10.2087
0.790116, -0,0.00104887,1, 0.14376,-0.038532,0.516187,-0.123975,-0.108525,-0.516563, -0.0164061,-0.0253073,0.980351,0.451106,-0.313813,10.4441
0.800091, -0,0.00104887,1, 0.145378,-0.0387294,0.521635,-0.130737,-0.0973956,-0.544739, -0.0171042,-0.0254818,0.990998,0.333426,-0.127486,10.0518
0.810049, -0,0.00104887,1, 0.14698,-0.0389789,0.526894,-0.126229,-0.10181,-0.525955, -0.0165806,-0.0258309,1.01229,0.294199,0.215746,8.32585
0.820048, -0,0.00104887,1, 0.148557,-0.0389507,0.532623,-0.1375,-0.0772496,-0.572915, -0.0169297,-0.0256563,1.02311,0.490333,0.17652,8.86521
0.830047, -0,0.00104887,1, 0.150183,-0.0387301,0.538916,-0.151024,-0.0640069,-0.629268, -0.0179769,-0.0254818,1.03376,0.490333,-0.0882598,9.85568
0.84004, -0,0.00104887,1, 0.151792,-0.0382996,0.545584,-0.160041,-0.0461619,-0.666836, -0.0179769,-0.0254818,1.03376,0.490333,-0.0882598,9.85568
0.850111, -0,0.00104887,1, 0.153515,-0.0380506,0.552253,-0.160041,-0.0687029,-0.666836, -0.0190241,-0.0251327,1.04458,0.0686466,0.02942,8.78676
0.860048, -0,0.00104887,1, 0.155268,-0.0386113,0.55723,-0.119467,-0.139989,-0.497779, -0.0195477,-0.0247837,1.05558,-0.00980665,-0.0490333,9.20844
0.870044, -0,0.00104887,1, 0.156984,-0.0397392,0.560799,-0.0856555,-0.18662,-0.356898, -0.0193732,-0.0240855,1.0664,0.186326,-0.0490333,10.4735
0.880061, -0,0.00104887,1, 0.158763,-0.0406147,0.56512,-0.103688,-0.168963,-0.432034, -0.0193732,-0.0233874,1.07722,-0.196133,-0.431493,11.6601
0.890094, -0,0.00104887,1, 0.160534,-0.0409607,0.570567,-0.130737,-0.128953,-0.544739, -0.0198968,-0.0228638,1.08821,0.637432,0.294199,10.9246
0.900056, -0,0.00104887,1, 0.162304,-0.0408749,0.576954,-0.155532,-0.0866417,-0.648052, -0.0207694,-0.0226893,1.09903,0.225553,-0.274586,10.0224
0.910078, -0,0.00104887,1, 0.164014,-0.0408946,0.582871,-0.142008,-0.0953763,-0.591699, -0.0216421,-0.0228638,1.1102,0.529559,-0.392266,7.98261
0.920044, -0,0.00104887,1, 0.165543,-0.0408334,0.588318,-0.130737,-0.0793628,-0.544739, -0.0214676,-0.0225147,1.13237,0.411879,0.372653,10.0518
0.930131, -0,0.00104887,1, 0.167007,-0.040751,0.593578,-0.126229,-0.0747608,-0.525955, -0.0216421,-0.0221657,1.14354,0.294199,-0.274586,10.9344
0.940042, -0,0.00104887,1, 0.168446,-0.0406235,0.598837,-0.126229,-0.0702525,-0.525955, -0.0221657,-0.0221657,1.15471,0.490333,0.215746,9.40458
0.950158, -0,0.00104887,1, 0.17018,-0.0403203,0.605506,-0.160041,-0.0732111,-0.666836, -0.0225147,-0.0228638,1.16571,0.254973,0.17652,9.65955
0.960067, -0,0.00104887,1, 0.17207,-0.0400351,0.612644,-0.171311,-0.0847163,-0.713796, -0.0225147,-0.0228638,1.16571,0.254973,0.17652,9.65955
0.970108, -0,0.00104887,1, 0.1738,-0.0400616,0.618467,-0.139754,-0.1066,-0.582307, -0.0228638,-0.0232129,1.17653,0.225553,0.107873,9.94394
0.98006, -0,0.00104887,1, 0.175349,-0.0403675,0.622975,-0.108196,-0.114959,-0.450819, -0.0225147,-0.0226893,1.18735,0.225553,-0.735499,10.3264
0.990043, -0,0.00104887,1, 0.176836,-0.0404632,0.627765,-0.114959,-0.0948128,-0.478995, -0.0218166,-0.0216421,1.19799,0.490333,0.411879,10.091
1.00005, -0,0.00104887,1, 0.178429,-0.0405051,0.633024,-0.126229,-0.0973017,-0.525955, -0.0221657,-0.021293,1.20882,0.490333,-0.274586,10.1989
1.01005, -0,0.00104887,1, 0.180093,-0.04071,0.638096,-0.121721,-0.11524,-0.507171, -0.0230383,-0.0216421,1.21964,0.637432,-0.274586,10.5814
1.02006, -0,0.00104887,1, 0.181993,-0.0410705,0.643543,-0.130737,-0.142477,-0.544739, -0.0235619,-0.0219911,1.23028,0.490333,-0.00980665,9.52226
1.03006, -0,0.00104887,1, 0.183767,-0.0414017,0.648615,-0.121721,-0.133273,-0.507171, -0.023911,-0.0218166,1.2521,0.372653,-0.00980665,10.395
1.0401, -0,0.00104887,1, 0.185456,-0.0416477,0.653593,-0.119467,-0.121956,-0.497779, -0.0242601,-0.0214676,1.26292,0.676659,-0.20594,9.55168
1.05004, -0,0.00104887,1, 0.186881,-0.0414655,0.658759,-0.123975,-0.0724597,-0.516563, -0.0247837,-0.0214676,1.27374,0.411879,0.02942,9.63013
1.06009, -0,0.00104887,1, 0.188404,-0.0412573,0.6643,-0.132991,-0.0771557,-0.554131, -0.0247837,-0.0214676,1.27374,0.411879,0.02942,9.63013
1.07007, -0,0.00104887,1, 0.190186,-0.0410417,0.670686,-0.153278,-0.093357,-0.63866, -0.0260054,-0.0216421,1.28456,0.1471,-0.392266,9.56148
1.08008, -0,0.00104887,1, 0.191935,-0.0410658,0.676322,-0.135246,-0.111014,-0.563523, -0.0267035,-0.0218166,1.29503,-0.0490333,-0.166713,9.55168
1.09005, -0,0.00104887,1, 0.193589,-0.0410691,0.681675,-0.128483,-0.104111,-0.535347, -0.0263545,-0.0214676,1.30568,0.254973,-0.313813,10.2774
1.10007, -0,0.00104887,1, 0.19525,-0.0415735,0.685714,-0.096926,-0.144027,-0.403858, -0.0256563,-0.0204204,1.31633,1.13757,-0.0490333,9.89491
1.11007, -0,0.00104887,1, 0.196792,-0.0419946,0.689564,-0.0924178,-0.130409,-0.385074, -0.0251327,-0.0198968,1.3268,0.186326,-0.166713,11.3561
1.12006, -0,0.00104887,1, 0.198337,-0.0417743,0.695106,-0.132991,-0.0816639,-0.554131, -0.0256563,-0.0202458,1.33762,0.294199,-0.353039,11.513
1.13004, -0,0.00104887,1, 0.19987,-0.0413221,0.701211,-0.146516,-0.0639129,-0.610483, -0.0267035,-0.0209439,1.34862,0.0686466,-0.353039,9.5909
1.14004, -0,0.00104887,1, 0.201625,-0.0412298,0.707034,-0.139754,-0.1066,-0.582307, -0.0277507,-0.0209439,1.37026,0.833565,0.215746,9.40458
1.15004, -0,0.00104887,1, 0.203153,-0.0411401,0.712105,-0.123975,-0.0904924,-0.516563, -0.0279253,-0.0204204,1.38108,0.1471,-0.735499,10.2479
1.16005, -0,0.00104887,1, 0.204695,-0.0408535,0.717741,-0.135246,-0.0794568,-0.563523, -0.0280998,-0.0202458,1.3919,0.1471,-0.392266,10.3166
1.17012, -0,0.00104887,1, 0.206465,-0.0405114,0.724221,-0.155532,-0.0911499,-0.648052, -0.0287979,-0.0205949,1.40272,0.451106,-0.0882598,10.395
1.18005, -0,0.00104887,1, 0.208177,-0.0400275,0.730889,-0.160041,-0.0777193,-0.666836, -0.0287979,-0.0205949,1.40272,0.451106,-0.0882598,10.395
1.19005, -0,0.00104887,1, 0.209973,-0.0396957,0.73737,-0.155532,-0.0956581,-0.648052, -0.029147,-0.0207694,1.41372,-0.23536,-0.20594,8.4043
1.20005, -0,0.00104887,1, 0.211706,-0.0398559,0.742254,-0.117213,-0.128671,-0.488387, -0.0289725,-0.0205949,1.42454,-0.0490333,-0.166713,9.27709
1.21006, -0,0.00104887,1, 0.213262,-0.0403155,0.745729,-0.0834014,-0.139237,-0.347506, -0.0286234,-0.0195477,1.43501,0.833565,-0.20594,10.9246
1.2201, -0,0.00104887,1, 0.214787,-0.0407999,0.749016,-0.0788933,-0.139143,-0.328722, -0.0284489,-0.0188496,1.44566,-0.196133,-0.166713,11.464
1.23005, -0,0.00104887,1, 0.21625,-0.040517,0.754276,-0.126229,-0.0792689,-0.525955, -0.0289725,-0.0190241,1.45665,0.0686466,0.294199,10.9736
1.24004, -0,0.00104887,1, 0.217911,-0.0400755,0.760568,-0.151024,-0.0820396,-0.629268, -0.0300197,-0.0195477,1.4673,-0.0882598,-0.666852,8.66908
1.25005, -0,0.00104887,1, 0.219816,-0.0399789,0.766579,-0.144262,-0.124726,-0.601091, -0.0310669,-0.0198968,1.47829,0.333426,-0.392266,7.78648
1.26009, -0,0.00104887,1, 0.221935,-0.0402557,0.772121,-0.132991,-0.167319,-0.554131, -0.0315905,-0.018675,1.49994,-0.0490333,-0.509946,10.3264
1.27005, -0,0.00104887,1, 0.223423,-0.0399714,0.77738,-0.126229,-0.0837771,-0.525955, -0.0321141,-0.0181514,1.51093,0.294199,-0.470719,10.9246
1.28005, -0,0.00104887,1, 0.224848,-0.0395203,0.782921,-0.132991,-0.0681394,-0.554131, -0.0321141,-0.0181514,1.51093,0.294199,-0.470719,10.9246
1.29004, -0,0.00104887,1, 0.226495,-0.0390946,0.789026,-0.146516,-0.0864539,-0.610483, -0.0324631,-0.0185005,1.52193,0.794339,-0.127486,10.9638
