time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0100913, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,-0.000174533,0.02942,0.333426,9.78704
0.0200698, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,-0.000174533,0.0686466,0.333426,9.78704
0.0300848, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,-0.000174533,0.02942,0.333426,9.78704
0.0400662, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.02942,0.333426,9.78704
0.0502052, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.0686466,0.333426,9.78704
0.0600848, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.0686466,0.333426,9.74781
0.0700612, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.0686466,0.333426,9.74781
0.0800903, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.0686466,0.333426,9.74781
0.0900979, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.02942,0.333426,9.78704
0.100128, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00593412,0,0.0686466,0.333426,9.74781
0.110084, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.02942,0.333426,9.78704
0.120083, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.107873,0.333426,9.78704
0.130106, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.82626
0.140067, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.02942,0.372653,9.78704
0.150096, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.74781
0.160075, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.74781
0.17007, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.78704
0.180073, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.02942,0.372653,9.74781
0.19015, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.02942,0.372653,9.74781
0.200121, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.02942,0.333426,9.78704
0.210151, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.78704
0.220078, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.78704
0.230085, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.02942,0.333426,9.78704
0.240067, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.02942,0.372653,9.74781
0.250101, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.260068, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.78704
0.270067, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.78704
0.280064, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.372653,9.74781
0.290101, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.300122, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.310122, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.02942,0.333426,9.82626
0.320104, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.330068, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.340066, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.350131, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.360072, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.0686466,0.333426,9.74781
0.370063, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.02942,0.333426,9.74781
0.380067, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.02942,0.333426,9.74781
0.390099, -0,-0,0, 0,0,0,0,0,0, 0.0349066,-0.00575959,0,0.02942,0.333426,9.74781
0.400069, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.74781
0.410117, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.74781
0.420075, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.74781
0.430073, -0,-0,0, 0,0,0,0,0,0, 0.0350811,-0.00575959,0,0.02942,0.333426,9.74781
0.440075, -0,-0,0, -0.314159,0.314159,0,-0.314159,0.314159,0, 0.0350811,-0.00575959,0,0.0686466,0.333426,9.74781
0.450101, -0,-0,0, 0.314159,0,0,0.314159,0,0, 0.0350811,-0.00575959,0,0.02942,0.333426,9.78704
0.460005, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0350811,-0.00575959,0,0.02942,0.294199,9.63994
0.470175, -0,-0,0, 0.314159,-0.314159,0,0.314159,-0.314159,0, 0.0350811,-0.00575959,0,0.02942,0.294199,9.48303
0.480093, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0349066,-0.00575959,0,0.02942,0.254973,9.78704
0.490071, -0,-0,0, 0,0,0.314159,0,0,0.314159, 0.0347321,-0.00558505,0,0.225553,0.451106,10.1695
0.500069, -0,-0,0, 0,0,0,0,0,0, 0.0345575,-0.00558505,0,-0.0490333,0.254973,10.1401
0.510133, -0,-0,0, 0,0,0.314159,0,0,0.314159, 0.0350811,-0.00575959,-0.000174533,-0.00980665,0.451106,9.63994
0.520108, -0,-0,0, 0,-0.314159,0,0,-0.314159,0, 0.0350811,-0.00575959,-0.000174533,-0.00980665,0.451106,9.63994
0.530092, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0349066,-0.00575959,0,0.02942,0.294199,9.02212
0.540071, -0,-0,0, 0.314159,0,0,0.314159,0,0, 0.0347321,-0.00575959,0,0.107873,0.411879,10.0616
0.550103, -0,-0,0, 0,0,0,0,0,0, 0.0347321,-0.00575959,-0.000174533,-0.00980665,0.254973,10.4049
0.560098, -0,-0,0, 0,0.314159,0,0,0.314159,0, 0.0347321,-0.00575959,-0.000174533,0.186326,0.490333,9.74781
0.57007, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0349066,-0.00575959,-0.000174533,-0.156906,0.411879,9.56148
0.580081, -0,-0,0, 0.314159,-0.314159,0,0.314159,-0.314159,0, 0.0349066,-0.00575959,-0.000174533,0.186326,0.372653,9.33593
0.590119, -0,-0,0, -0.314159,0.314159,0,-0.314159,0.314159,0, 0.0347321,-0.00575959,-0.000174533,-0.0882598,0.254973,9.60071
0.600065, -0,-0,0, 0,0,0,0,0,0, 0.0347321,-0.00575959,-0.000174533,0.107873,0.294199,9.86549
0.610072, -0,-0,0, 0,0,0,0,0,0, 0.0347321,-0.00558505,-0.000174533,0.0686466,0.333426,9.71839
0.620091, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0347321,-0.00558505,-0.000174533,0.1471,0.529559,9.78704
