time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0101211, 0,0,0, 0,0,0,0,0,0, 0.0171042,-0.00802851,0.018675,0.0784532,0.1471,9.80665
0.0200925, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0171042,-0.00802851,0.018675,0.0784532,0.107873,9.80665
0.0300875, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0171042,-0.00802851,0.018675,0.0784532,0.107873,9.80665
0.0401075, -0,-0,0, 0,0,0,0,0,0, 0.0171042,-0.00802851,0.0188496,0.0784532,0.107873,9.84588
0.0500734, -0,-0,0, 0,0,0,0,0,0, 0.0171042,-0.00802851,0.0188496,0.0784532,0.1471,9.84588
0.0600655, -0,-0,0, 0,0,0,0,0,0, 0.0171042,-0.00802851,0.0188496,0.0784532,0.1471,9.80665
0.0701342, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0171042,-0.00802851,0.0190241,0.0784532,0.107873,9.80665
0.08008, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00802851,0.0190241,0.0784532,0.1471,9.80665
0.0900776, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00802851,0.0190241,0.11768,0.225553,9.84588
0.100082, -0,-0,0, -0.314159,0.314159,0,-0.314159,0.314159,0, 0.0169297,-0.00802851,0.0190241,0.156906,0.186326,9.84588
0.110076, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00802851,0.0191986,0.0784532,0.186326,9.80665
0.120071, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00802851,0.0191986,0.0784532,0.186326,9.76742
0.130087, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00802851,0.0191986,0.11768,0.1471,9.84588
0.140079, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00802851,0.0191986,0.11768,0.1471,9.84588
0.15012, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00802851,0.0193732,0.0784532,0.1471,9.8851
0.16007, -0,-0,0, 0,-0.314159,0,0,-0.314159,0, 0.0169297,-0.00802851,0.0193732,0.0392266,0.1471,9.84588
0.170079, -0,-0,0, -0.314159,0,-0.314159,-0.314159,0,-0.314159, 0.0169297,-0.00820305,0.0193732,0.0784532,0.1471,9.76742
0.180112, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00820305,0.0193732,0.11768,0.1471,9.84588
0.190121, -0,-0,0, -0.314159,0,-0.314159,-0.314159,0,-0.314159, 0.0169297,-0.00820305,0.0195477,0.0784532,0.186326,9.76742
0.200116, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00820305,0.0195477,0.0784532,0.0686466,9.8851
0.210118, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00820305,0.0197222,0.0784532,0.225553,9.80665
0.220107, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00820305,0.0197222,0.0784532,0.225553,9.7282
0.230082, -0,-0,0, -0.314159,0,-0.314159,-0.314159,0,-0.314159, 0.0169297,-0.00820305,0.0197222,0,0.225553,9.80665
0.240073, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00820305,0.0198968,-0.0392266,0.107873,9.76742
0.250075, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00820305,0.0198968,-0.0392266,0.107873,9.76742
0.260107, -0,-0,0, -0.314159,0,0,-0.314159,0,0, 0.0169297,-0.00820305,0.0198968,0,0.1471,9.76742
0.270067, -0,-0,0, -0.314159,0,-0.314159,-0.314159,0,-0.314159, 0.0169297,-0.00820305,0.0200713,0.0392266,0.1471,9.76742
0.280137, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00820305,0.0202458,0.0392266,0.1471,9.84588
0.290076, -0,-0,0, 0,-0.314159,0,0,-0.314159,0, 0.0169297,-0.00820305,0.0202458,0.11768,0.107873,9.76742
0.30009, -0,-0,0, 0,0.314159,0,0,0.314159,0, 0.0169297,-0.00820305,0.0204204,0.196133,0.26478,9.76742
0.310068, -0,-0,0, 0,0,0,0,0,0, 0.0169297,-0.00820305,0.0205949,0.11768,0.186326,9.76742
