time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0100932, -0,-0,0, 0,0,0,0,0,0, 0.0247837,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.0200837, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.26478,9.80665
0.0300598, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.80665
0.0400696, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.0500724, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.80665
0.0600731, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.070117, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.26478,9.80665
0.0800824, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.26478,9.80665
0.0901749, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.100093, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.110078, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.120089, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.80665
0.130065, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.26478,9.80665
0.140064, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.80665
0.150011, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.160106, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.170091, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.180082, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.190067, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.200066, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.84588
0.210113, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.80665
0.22007, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.80665
0.230071, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.76742
0.240095, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.250079, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.260065, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.156906,0.26478,9.76742
0.270072, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.280114, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.290099, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.196133,0.225553,9.80665
0.300151, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.156906,0.26478,9.80665
0.310112, -0,-0,0, 0,0,0,0,0,0, 0.0251327,-0.0174533,0.000174533,0.156906,0.26478,9.76742
0.320122, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0174533,0.000174533,0.156906,0.225553,9.76742
0.330115, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0176278,0.000174533,0.196133,0.225553,9.80665
0.340111, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0176278,0.000174533,0.156906,0.225553,9.80665
0.350078, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0176278,0.000174533,0.156906,0.225553,9.80665
0.360061, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0176278,0.000174533,0.156906,0.26478,9.80665
0.370355, -0,-0,0, 0,0,0,0,0,0, 0.0249582,-0.0176278,0.000174533,0.196133,0.225553,9.80665
